"ACCESS POINT","STATUS","RADIO MAC ADDRESS","BAND","BANDWIDTH","CHANNEL","UTILIZATION (%)","POWER (dBm)","NOISE FLOOR (dBm)"
"Campus Central - Bloque de Aulas - Salon Euskadi 1","Up","68:28:cf:6f:e3:d0","5 GHz","80 MHz","64","13","24","-95"
"Campus Central - Bloque de Aulas - Salon Euskadi 1","Up","68:28:cf:6f:e3:c0","2.4 GHz","20 MHz","6","19","9","-98"
"Campus Central - Bloque de Aulas - Aula 205 - Lab Computacion","Up","68:28:cf:6f:2f:d0","5 GHz","80 MHz","104","18","24","-93"
"Campus Central - Bloque de Aulas - Aula 205 - Lab Computacion","Up","68:28:cf:6f:2f:c0","2.4 GHz","20 MHz","11","29","9","-97"
"Santa Cruz - Bloque1_Piso1_Escalera - Entrada -SWArP24","Down","68:28:cf:6f:60:f0","5 GHz","-","-","-","-","-"
"Santa Cruz - Bloque1_Piso1_Escalera - Entrada -SWArP24","Down","68:28:cf:6f:60:e0","2.4 GHz","-","-","-","-","-"
"Tachina - Escaleras","Up","68:28:cf:70:52:d0","5 GHz","80 MHz","52","18","18","-96"
"Tachina - Escaleras","Up","68:28:cf:70:52:c0","2.4 GHz","20 MHz","1","50","9","-98"
"Campus Central - Bloque de Aulas - Aula 310","Up","68:28:cf:70:55:80","2.4 GHz","20 MHz","1","37","9","-97"
"Campus Central - Bloque de Aulas - Aula 310","Up","68:28:cf:70:55:90","5 GHz","80 MHz","108","24","24","-93"
"Campus Central - Bloque de Aulas - Aula 204","Down","68:28:cf:6f:9c:40","2.4 GHz","-","-","-","-","-"
